Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ArmBaseLink,-3.2661E-19,-7.7765E-19,0.0127,0,0,0,0.08044,2.4597E-05,5.9791E-38,-9.7646E-22,2.4597E-05,-9.765E-22,4.0544E-05,0,0,0,0,0,0,package://meshes/sra/ArmBaseLink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/ArmBaseLink.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseToShoulderLink,-1.0922E-16,5.4252E-18,-0.029816,0,0,0,0.06206,3.1832E-05,4.0883E-21,-4.1377E-21,2.314E-05,-5.8062E-21,3.1465E-05,0,0,0,0,0,0,package://meshes/sra/BaseToShoulderLink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/BaseToShoulderLink.STL,,joint1-1;jointconnector-1,Origin_BaseJoint,Axis_BaseJoint,BaseJoint,revolute,0,0,0.073354,0,0,0,ArmBaseLink,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
ShoulderToElbowDummyLink,9.5178E-09,-0.077956,1.1951E-07,0,0,0,0.20651,0.00071889,5.7664E-11,-1.047E-11,3.5523E-05,2.7172E-10,0.00071391,0,0,0,0,0,0,package://meshes/sra/ShoulderToElbowDummyLink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/ShoulderToElbowDummyLink.STL,,link1-1,Origin_ShoulderJoint,Axis_ShoulderJoint,ShoulderJoint,revolute,0,0,0,-1.5708,0,0,BaseToShoulderLink,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
ElbowDummyToElbowLink,-0.0046316,-1.6291E-19,0.013246,0,0,0,0.057319,3.2017E-05,-2.0077E-21,-4.3427E-06,2.588E-05,7.1435E-21,1.8287E-05,0,0,0,0,0,0,package://meshes/sra/ElbowDummyToElbowLink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/ElbowDummyToElbowLink.STL,,elbowjoint-1,Origin_ElbowDummy,,ElbowDummyJoint,fixed,0,-0.19622,0,-1.5699,0,-1.5708,ShoulderToElbowDummyLink,0,0,0,,,,,,,,,,,,
ElbowToWristDummyLink,0.0859457002041171,-4.76514517150362E-08,-6.07913708871384E-09,0,0,0,0.254411955196347,4.82915370297559E-05,-4.11218298859846E-10,-2.66009415786698E-10,0.00114293173407415,1.00207802188044E-09,0.00113966996171655,0,0,0,0,0,0,package://meshes/sra/ElbowToWristDummyLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://meshes/sra/ElbowToWristDummyLink.STL,,link2-1,Origin_ElbowJoint,Axis_rev_joint2,ElbowJoint,revolute,0,0.000127,0.044653,1.5708,0,0,ElbowDummyToElbowLink,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
WristDummyToWristLink,-0.010365,1.3281E-06,-4.0549E-17,0,0,0,0.018159,8.7777E-06,6.5632E-11,3.7739E-21,9.2899E-06,-1.2441E-21,6.5965E-06,0,0,0,0,0,0,package://meshes/sra/WristDummyToWristLink.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/WristDummyToWristLink.STL,,wrist-1,Origin_WristDummyJoint,,WristDummyJoint,fixed,0.2267,0,0,0.033844,0,0.00012806,ElbowToWristDummyLink,0,0,0,,,,,,,,,,,,
WristToGripperLink,6.93889390390723E-18,0.00187028459715766,-1.51788304147971E-18,0,0,0,0.0640611944357688,1.76418435994478E-05,4.81026205714899E-21,-7.94093388050907E-22,1.51643333221916E-05,2.3152009863535E-21,1.75401124672356E-05,0,0,0,0,0,0,package://meshes/sra/WristToGripperLink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://meshes/sra/WristToGripperLink.STL,,wristjoint-1,Origin_WristJoint,Axis_rev_end_eff,WristJoint,revolute,0,0,0,0,0,-1.5708,WristDummyToWristLink,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
GripperToFinger,6.9389E-18,0.009525,-0.02353,0,0,0,0.064061,1.7642E-05,7.9409E-22,1.2031E-21,1.754E-05,-3.0217E-21,1.5164E-05,0,0,0,0,0,0,package://meshes/sra/GripperToFinger.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/GripperToFinger.STL,,wristjoint-1,Origin_GripperJoint,Axis_rev_end_eff,GripperJoint,fixed,0,0.0254,0.009525,-1.5708,0,0,WristToGripperLink,0,0,0,0,0,0,0,,,,,,,,
LeftFinger,-0.0186190688837656,0.00741270089060464,-1.89084858881472E-16,0,0,0,0.000346143112791696,4.72102551979473E-08,1.9979772763792E-08,2.17548501101446E-22,6.13681088501549E-08,-5.15333521620536E-22,4.49638260468465E-08,0,0,0,0,0,0,package://meshes/sra/LeftFinger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://meshes/sra/LeftFinger.STL,,end-eff-1-1,Origin_LFingerJoint,LFingerAxle,LFingerJoint,revolute,-0.00762,0.009525,0.001905,1.5708,0.88304,0,GripperToFinger,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
RightFinger,-0.018619,0.0074127,-1.5613E-17,0,0,0,0.00034614,4.721E-08,1.998E-08,-3.4431E-23,6.1368E-08,-4.2807E-23,4.4964E-08,0,0,0,0,0,0,package://meshes/sra/RightFinger.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://meshes/sra/RightFinger.STL,,end-eff-1-2,Origin_RFingerJoint,RFingerAxle,RFingerJoint,revolute,0.00762,0.009525,0.001905,1.5708,0.98268,-3.1416,GripperToFinger,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
