Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.05113081011494,1.04025499843037E-08,0.0704137823724448,0,0,0,16.6873668690236,0.172590277832974,-2.75414253705877E-09,0.0449381276570209,0.296611240719803,-7.04971494883016E-08,0.387785538961407,0,0,0,0,0,0,package://srr_sim/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/base_link.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Left,0.08668,0.0019677,-0.01905,0,0,0,0.097852,1.5257E-05,-1.5911E-05,-1.2482E-10,0.00064985,-2.4041E-11,0.00065398,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left.STL,,frontlink-2,Origin_FL_Joint,Axis_FL_Joint,FL_Joint,revolute,0,0.15621,0.034606,1.5708,0.23089,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Front_Left_Rev_Link,0,-0.033064,0,0,0,0,0.063238,4.7373E-05,1.7961E-20,2.2235E-21,1.1555E-05,2.8067E-21,4.9992E-05,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left_Rev_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left_Rev_Link.STL,,front_revolute-2,Origin_FL_Rev_Joint,Axis_FL_Rev_Joint,FL_Rev_Joint,continuous,0.21838,0.0052363,-0.01905,0,0.036515,0.023974,Front_Left,0,1,0,,,,,,,,,,,,
Front_Left_Wheel,5.55111512312578E-17,8.32667268468867E-17,-0.0659585874549844,0,0,0,0.72193847666214,0.00217503268969959,-4.79844164619561E-19,-1.28749007982654E-18,0.00217503268969959,-2.07353665487853E-18,0.00399122024811154,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Left_Wheel.STL,,wheel-4;front_wheel_axle-2,Origin_FL_Wheel_Joint,Axis_FL_Wheel_Joint,FL_Wheel_Joint,continuous,0,-0.06096,0,0,0,-0.75345,Front_Left_Rev_Link,0,0,1,,,,,,,,,,,,
Front_Right,0.0841644725318393,0.0208238283846831,0.0190500131425785,0,0,0,0.0978518395980198,5.22109602469777E-05,-0.000149460319430953,-1.19430278845215E-10,0.000612890773966618,-5.22705653083454E-11,0.000653981235525709,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right.STL,,frontlink-1,Origin_FR_Joint,Axis_FR_Joint,FR_Joint,revolute,0,-0.15621,0.034606,1.5708,0.43239,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Front_Right_Rev_Link,-6.66133814775094E-16,-0.0486821054711925,0.0195531661804494,0,0,0,0.1436780324417,0.000121635979212494,4.41083187630774E-20,3.60571337734315E-19,8.58181467246999E-05,1.52860469579376E-20,6.01279888666829E-05,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right_Rev_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right_Rev_Link.STL,,front_revolute-1;front_wheel_axle-1,Origin_FR_Rev_Joint,Axis_FR_Rev_Joint,FR_Rev_Joint,continuous,0.21198,0.052735,0.01905,0,-0.0080108,0.24382,Front_Right,0,1,0,,,,,,,,,,,,
Front_Right_Wheel,6.9389E-17,-5.5511E-17,0.065959,0,0,0,0.72194,0.002175,-5.6447E-21,1.8588E-18,0.002175,-1.0842E-19,0.0039912,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://srr_sim/meshes/Front_Right_Wheel.STL,,wheel-2;front_wheel_axle-1,Origin_FR_Wheel_Joint,Axis_FR_Wheel_Joint,FR_Wheel_Joint,continuous,0,-0.06096,0,0,0,-1.311,Front_Right_Rev_Link,0,0,1,,,,,,,,,,,,
Rear_Left,-0.129484101501797,-0.000479080079523499,-0.0190500000000001,0,0,0,0.13036735305509,2.22512720679362E-05,-3.25978990830839E-06,-2.15250899622258E-21,0.00137775885904674,-9.1846719439127E-22,0.00138959248730674,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Left.STL,,link-3,Origin_RL_Joint,Axis_RL_Joint,RL_Joint,revolute,0,0.18161,0.034606,1.5708,-0.38556,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Rear_Left_Wheel,0.00035855,-0.00051139,-0.052821,0,0,0,0.69177,0.0021208,1.6263E-19,3.5887E-20,0.0021208,-1.5005E-19,0.0039874,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Left_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Left_Wheel.STL,,wheel-3;wheel_axle-4,Origin_RL_Wheel_Joint,Axis_RL_Wheel_Joint,RL_Wheel_Joint,continuous,-0.25908,0,0,0,0,-0.61027,Rear_Left,0,0,1,,,,,,,,,,,,
Rear_Right,-0.129455683958967,-0.00275462341653285,0.01905,0,0,0,0.13036735305509,2.27844985113073E-05,-2.70764545199952E-05,4.92677162109119E-21,0.00137722563260337,2.5929948639206E-22,0.00138959248730674,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://srr_sim/meshes/Rear_Right.STL,,link-1,Origin_RR_Joint,Axis_RR_Joint,RR_Joint,revolute,0,-0.18161,0.0346062035203441,1.5707963267949,-0.373063936984615,0,base_link,0,0,1,0,0,0,0,,,,,,,,
